hour,T_out_C,T_air_C,T_mass_C,solar_gain_W,conduction_loss_W,ventilation_loss_W,net_heat_flow_W,storage_rate_W,comfort_status
10.5,-11.444150891285808,-3.584336138818283,-3.459621817962907,445.51221318915873,374.9697145063263,100.05229787301062,-333.80212036942055,70.49020080982194,uncomfortable
11.0,-10.329371405922686,-3.517342907151945,-3.436952213560129,409.92928609906795,324.057989869369,86.71439797795203,-267.09729755578456,99.15689825174378,uncomfortable
11.5,-9.174735729980465,-3.4350146891581708,-3.3984851729684484,412.01346494128734,272.00485841808677,73.06435296125149,-199.88819088728468,166.94425356194827,uncomfortable
12.0,-8.0,-2.8608529679954118,-3.2636365500901814,791.5948753725615,229.00355713084883,65.41928605860562,270.1770835488764,597.1720321831059,uncomfortable
12.5,-6.825264270019535,-3.132516770918627,-3.201017590414904,373.735490064979,171.92718504463056,47.007198564554926,-73.7533631171319,254.80110645579146,uncomfortable
13.0,-5.670628594077314,-3.047118650084785,-3.1344305776718397,340.8466536675953,120.85525454939844,33.3962321830473,-10.57639644090925,286.5951669351478,uncomfortable
13.5,-4.5558491087141935,-2.9362997387485517,-3.0598605793019953,314.4861756916782,72.28071055995557,20.616215659914637,48.32296579004615,321.58924947180435,uncomfortable
14.0,-3.5000000000000018,-2.8218270724035484,-2.9795729404349087,281.4050603420305,26.727633177250603,8.632870099131814,102.53578899310665,346.0445570656476,uncomfortable
14.5,-2.5211471389215134,-2.707009632735062,-2.8952266034317247,245.89161992641496,-15.052694223333633,-2.365955201248947,151.2339732685257,363.310269350996,uncomfortable
15.0,-1.6360389693210715,-2.5955576949910943,-2.8101800277134052,201.4981871889924,-52.433418112044755,-12.214289570289123,193.7640892929719,366.14589487132577,uncomfortable
15.5,-0.8598199373788846,-2.485169349052137,-2.721222551529792,177.47334848611638,-84.56112309634372,-20.690047870835834,229.21676322661676,382.72451945329465,uncomfortable
16.0,-0.20577136594005196,-2.3795871508697086,-2.6323010441965673,143.70627837000717,-110.99261640194712,-27.67180541584056,257.2197186232486,382.3707001877911,uncomfortable
16.5,0.31491579260158,-2.279980937692894,-2.544253362294016,114.1306629730434,-131.2440435429559,-33.03199741795654,277.3828948691294,378.4067039339531,uncomfortable
17.0,0.6933324366016134,-2.1875540911289955,-2.4582541570009613,87.77615684783274,-144.95090930245001,-36.67253314339956,289.50663254896125,369.39959929368047,uncomfortable
17.5,0.9230037523642931,-2.1022048879945796,-2.3742295125101944,70.39734902245857,-151.80387809037165,-38.50969590831231,293.55110450472546,360.7109230211397,uncomfortable
18.0,1.0,-2.0236874602328947,-2.2926394965504437,59.957173447537464,-151.62952527023847,-38.49033189378066,290.11985716401915,350.07703061155615,uncomfortable
18.5,0.9230037523642931,-1.9551284961619495,-2.218845028050747,35.30081800044254,-144.58780352698696,-36.63747227083966,281.2252757978266,316.526093798268,uncomfortable
19.0,0.6933324366016151,-1.8958182646430404,-2.1484715242000587,38.054906583463946,-130.5850204442563,-32.958852766563965,263.54387321082027,301.59877979428273,uncomfortable
19.5,0.31491579260158,-1.8469857712166506,-2.083079211209872,42.59266505541298,-109.87561109024307,-27.52014214678055,237.39575323702363,279.9884182924354,uncomfortable
20.0,-0.20577136594005196,-1.8097961081356628,-2.024137144196228,48.83645111073019,-82.83015519443632,-20.41859335825325,203.24874855268956,252.08519966341873,uncomfortable
20.5,-0.8598199373788837,-1.7852174447351892,-1.9729992069244628,56.67943183890461,-49.92751510760488,-11.779940109642826,161.7074552172477,218.38688705615118,uncomfortable
21.0,-1.6360389693210688,-1.7739980643896527,-1.930881071806466,65.98741166519206,-11.746558301927477,-1.756164096585045,113.50272239851252,179.49013406370398,uncomfortable
21.5,-2.5211471389215117,-1.7766532533429527,-1.8988394662304793,76.6011284741053,31.043749225764696,9.477109365860827,59.479141408374474,136.08026988247698,uncomfortable
22.0,-3.4999999999999973,-1.7934565230685944,-1.8777541543363605,88.33897862836548,77.69578651662553,21.72361584394599,0.5805976394284791,88.91957626779185,uncomfortable
